q,opt1,opt2,opt3,opt4,ans,exp,,
日本国憲法第26条において、すべて国民は法律の定めるところにより、その能力に応じてひとしく何を受ける権利を有するか。,参政権,教育を受ける権利,生存権,財産権,1,憲法26条は教育の権利と義務を規定しています。,,
教育基本法第1条において、教育は何を目指して行われなければならないとされているか。,国家の繁栄,人格の完成,経済の発展,真理の探究,1,教育基本法第1条は「教育の目的」として人格の完成を掲げています。,,
教育基本法第4条において、人種、信条、性別、社会的身分、経済的地位又は（　）によって教育上差別されないとされる。,出身地,国籍,門地,学歴,2,「門地（もんち）」とは家柄のことです。,,
学校教育法第1条に規定される「学校」に含まれないものはどれか。,幼稚園,特別支援学校,高等専門学校,専修学校,3,専修学校は一条校には含まれません。,,xs
地方公務員法第30条において、地方公務員は「全体の（　）」として職務を執行しなければならないとされる。,代表者,労働者,奉仕者,貢献者,2,全体の奉仕者としての誠実かつ公正な職務執行が求められます。,,
児童虐待を受けたと思われる児童を発見した場合、教職員はどこに通告する義務があるか。,警察署,教育委員会,福祉事務所又は児童相談所,民生委員,2,虐待防止法第6条により規定されています。,,
長崎県が推進している県民運動「ココロねっこ運動」の対象は誰か。,子ども,保護者,教職員,すべての県民,3,社会全体で子どもの成長を支える長崎県独自の運動です。,,
長崎県の教育ビジョンで掲げられている将来像「長崎っこ」の姿はどれか。,優しく強い,志をもち、未来を切り拓く,世界に羽ばたく,地域を愛する,1,長崎県が目指す教育の基本理念です。,,
ピアジェの認知発達理論において、抽象的な論理的思考が可能になり、仮説演繹的な思考ができる段階はどれか。,感覚運動期,前操作期,具体的操作期,形式的操作期,3,11歳以降から始まる段階です。,,
マズローの欲求階層説において、ピラミッドの最上位にある欲求は何か。,安全の欲求,社会的欲求,承認の欲求,自己実現の欲求,3,自己の可能性を最大限に発揮したいという欲求です。,,
ヴィゴツキーが提唱した、他者の援助があれば解決できるが自力では解決できない領域を何というか。,発達の閾値,最近接発達領域,臨界期,準備性,1,ZPD（Zone of Proximal Development）と呼ばれます。,,
『エミール』を著し、子どもの自然な成長を重視した「消極教育」を説いた人物は誰か。,ルソー,ペスタロッチ,フレーベル,ロック,0,近代教育思想に多大な影響を与えたルソーです。,,
「知は力なり」と述べ、経験と観察を重視する帰納法を提唱したイギリスの哲学者は誰か。,デカルト,ロック,ベーコン,カント,2,フランシス・ベーコンです。,,
日本最古の庶民教育機関とされる、空海が京都に創設した学校はどれか。,足利学校,綜芸種智院,金沢文庫,咸宜園,1,弘法大師空海による、身分を問わない教育施設です。,,
「生活が陶冶する」と述べ、スイスの孤児院などで直観教授を実践した民衆教育の父は誰か。,ペスタロッチ,フレーベル,ヘルバルト,デューイ,0,ペスタロッチは頭・心・手の調和的発達を説きました。,,
幼稚園の創始者であり、恩物（おんぶつ）と呼ばれる遊具を考案したのは誰か。,モンテッソーリ,フレーベル,ルソー,エレン・ケイ,1,世界初の幼稚園を設立しました。,,
「教育は生活の準備ではなく、生活そのものである」と述べ、経験主義を唱えた人物は誰か。,ブルーナー,デューイ,スキナー,バンデューラ,1,ジョン・デューイは問題解決学習の提唱者です。,,
1872年に公布された、日本初の近代的な学校制度を定めた法令は何か。,教育令,学校令,学制,教育基本法,2,学制は国民皆学を目指しました。,,
1890年に発布され、戦前の教育の根本理念とされた文書は何か。,五箇条の御誓文,教育勅語,教育基本法,大教授学,1,1948年に失効するまで教育の基準とされました。,,
1947年に制定され、戦後教育の憲法とも呼ばれた法律は何か。,日本国憲法,学校教育法,旧教育基本法,地方教育行政法,2,現在は2006年に改正されたものが適用されています。,,
現在の学習指導要領で重視されている、授業改善の視点はどれか。,個別学習,暗記中心学習,主体的・対話的で深い学び,一斉講義形式,2,アクティブ・ラーニングの視点とも呼ばれます。,,
不登校の定義において、年間何日以上の欠席があった場合を指すか。,10日以上,20日以上,30日以上,50日以上,2,病気や経済的理由を除いたものです。,,
いじめ防止対策推進法において、いじめはインターネットを通じて行われるものも含むか。,含まない,一定の条件で含む,含まれる,定義されていない,2,SNS等を通じた行為もいじめに該当します。,,
教師が期待をかけることで、子どもの成績が向上する現象を何というか。,ハロー効果,ピグマリオン効果,プラシーボ効果,アンダーマイニング効果,1,ローゼンタールらによって示されました。,,
集団内の好き嫌いや人間関係を可視化するために用いる図を何というか。,ヒストグラム,ソシオグラム,散布図,樹形図,1,モレノが考案した手法です。,,
1965年に「生涯教育」という概念をユネスコで提唱した人物は誰か。,ポール・ラングラン,イリイチ,ハッチンス,デューイ,0,生涯学習の原点となる考え方です。,,
江戸時代の藩校のうち、水戸藩に設置された著名なものはどれか。,日新館,弘道館,明倫館,養正館,1,水戸藩の有名な教育機関です。,,
江戸時代の私塾「咸宜園（かんぎえん）」を開き、身分を問わず教育した人物は誰か。,本居宣長,緒方洪庵,広瀬淡窓,吉田松陰,2,大分県の日田にありました。,,
学校教育法第11条で、校長および教員は懲戒を加えることができるが、何をすることはできないか。,居残り指導,反省文の提出,体罰,教室移動,2,体罰は法律で厳格に禁止されています。,,
地方公務員法第34条において、職員に課せられている義務は何か。,職務専念義務,守秘義務,信用失墜行為の禁止,営利企業従事制限,1,職務上知り得た秘密を漏らしてはならない義務です。,,
教育公務員特例法において、教員は本属長の承認を得て勤務場所を離れて何ができるか。,副業,政治活動,研修,休職,2,承認研修と呼ばれる制度です。,,
2022年に廃止された、10年ごとに必要だった制度はどれか。,教員採用試験,教員免許更新制,再任用制度,管理職選考,1,現在は廃止されています。,,
学習指導要領において、小学校3・4年生で実施される英語教育の名称は何か。,外国語科,外国語活動,英語コミュニケーション,国際理解,1,成績評価のない活動中心の授業です。,,
特別の教科道徳において、評価はどのように行うべきか。,5段階の数値評価,他者との比較による評価,記述式による評価,評価は行わない,2,数値ではなく成長を記述で評価します。,,
GIGAスクール構想において整備が進められているものは何か。,全教室への空調,1人1台端末と通信環境,校庭の芝生化,電子黒板のみ,1,デジタル化を推進する国の施策です。,,
いじめ防止対策推進法において、いじめの「重大事態」が発生した際に報告すべき先はどこか。,警察,文部科学大臣,学校の設置者,PTA,2,公立なら教育委員会などに報告します。,,
マズローの欲求階層で、2番目の段階に位置する欲求はどれか。,生理的欲求,安全の欲求,尊厳の欲求,自己実現欲求,1,1段階目は生理的欲求です。,,
エリクソンの発達段階において、青年期の発達課題は何か。,信頼,勤勉,アイデンティティ,自律,2,自我同一性の確立です。,,
スキナーが提唱した、報酬によって行動の頻度が変わる学習原理は何か。,古典的条件づけ,オペラント条件づけ,洞察学習,観察学習,1,スキナー箱の実験で有名です。,,
『世界図絵』を著し、近代教授学の父と呼ばれるチェコの教育学者は誰か。,ルソー,コメニウス,ロック,デューイ,0,直観教授の先駆者です。,,
人間の心は白紙（タブラ・ラサ）であると述べ、経験を重視したのは誰か。,ロック,カント,ヘーゲル,ニーチェ,0,経験論の代表者です。,,
5段階教授法（予備・提示・比較・概括・応用）を提唱したヘルバルトの弟子は誰か。,ツィラー,ライン,フレーベル,デューイ,1,ラインによる5段階教授法です。,,
日本の義務教育の年数は何年か。,6年,9年,12年,15年,1,小学校6年と中学校3年です。,,
教育委員会制度において、教育長を任命するのは誰か。,文部科学大臣,都道府県知事,地方公共団体の長,教育委員,2,首長が議会の同意を得て任命します。,,
学校保健安全法に基づき、学校で毎年実施されるものは何か。,学力テスト,健康診断,防災訓練,避難訓練,1,6月30日までに実施されます。,,
感染症予防のため、児童生徒に出席停止を命じることができるのは誰か。,学校医,養護教諭,校長,教育委員会,2,校長の権限です。,,
特別支援教育において、一人一人のニーズに合わせ作成される計画は何か。,教育課程,個別の教育支援計画,学級経営案,学習指導案,1,長期的な視点の計画です。,,
通常学級に在籍しながら、一部の時間だけ別室で指導を受ける形態を何というか。,特別支援学級,通級による指導,適応指導教室,フリースクール,1,LDやADHDなどの児童も対象です。,,
学習指導要領において、これからの時代を生き抜くために必要な資質・能力の三つの柱の一つはどれか。,読解力,計算力,知識及び技能,運動能力,2,知識・技能、思考・判断・表現、学びに向かう力の三つです。,,
生徒指導提要において、生徒指導の基盤となるのは児童生徒とのどのような関係か。,主従関係,共感的な人間関係,監視的な関係,形式的な関係,1,信頼と共感が基本です。,,
自己の認知活動を客観的に捉え、制御することを何というか。,自己暗示,メタ認知,自己効力感,洞察,1,「認知についての認知」です。,,
バンデューラが提唱した、ある行動を成功させる能力があるという確信を何というか。,自己肯定感,自己効力感,自己愛,自尊心,1,セルフ・エフィカシーと呼ばれます。,,
「児童の権利に関する条約」を日本が批准したのは西暦何年か。,1947年,1994年,2006年,2023年,1,子どもの基本的人権を保障する条約です。,,
障害者差別解消法において、公立学校が障害者に対して行うべき調整を何というか。,一律の対応,特別待遇,合理的配慮,優先的保護,2,過度な負担にならない範囲での配慮です。,,
学校の管理下で発生した事故に対し、給付金を支払う制度を運営しているのはどこか。,日本赤十字社,日本スポーツ振興センター,文部科学省,厚生労働省,1,災害共済給付制度です。,,
地方公務員法において、職員の意に反して行われる免職や休職を何というか。,懲戒処分,分限処分,行政処分,罷免,1,身分を保障しつつ、公務の能率を維持するための処分です。,,
学校教育法第35条に基づき、性行不良により他の児童の教育に妨げがあると認められる児童に対し、出席停止を命じるのは誰か。,校長,教育委員会,警察,裁判所,1,市町村教育委員会が保護者に命じます。,,
小学校の必置の職に含まれないものはどれか。,校長,教頭,司書教諭,事務職員,2,教諭のうちから命じられる職ですが、必置の職としての列挙（37条）には直接含まれません。,,
学習指導要領における「総合的な学習の時間」の目標の柱となるのは何か。,学力の補充,探究的な学習,受験対策,体験活動のみ,1,自己の生き方を考える学習です。,,
「チームとしての学校」において、福祉の専門家として配置されるのは誰か。,スクールカウンセラー,スクールソーシャルワーカー,学校薬剤師,保健師,1,SSWと呼ばれます。,,
明治初期に「邑に不学の戸なく、家に不学の人なからしめん」という一節が含まれる太政官布告は何か。,教育勅語,被仰出書,学制,教育令,1,「被仰出書（おおせいだされしょ）」です。,,
大正時代の新教育運動において、成城小学校を創設した人物は誰か。,羽仁もと子,沢柳政太郎,野口援太郎,小原國芳,1,児童中心主義の教育を実践しました。,,
カウンセリングにおいて、相手の言葉をそのまま返すなどの技法を何というか。,受容,共感,反射,明確化,2,来談者中心療法の手法です。,,
学校教育法第1条における大学には、短期大学も含まれるか。,含まれない,含まれる,大学院のみ含む,名称が異なれば含まない,1,短期大学も大学の一種として一条校に含まれます。,,
地方公務員法において、職員が上司の職務上の命令に従う義務を規定しているのは何条か。,30条,32条,33条,34条,1,職務上の命令に従う義務（32条）です。,,
地方教育行政の組織及び運営に関する法律に基づき、教育委員会が点検・評価した結果を報告書として提出するのはどこか。,文部科学大臣,都道府県知事,議会,PTA,2,毎年、議会に提出し公表します。,,
長崎県が実施している「長崎っ子の心を見つめる運動」の目的は何か。,学力向上,体力の向上,命を大切にする心の育成,ITスキルの向上,2,2004年の佐世保の事件を契機に始まった運動です。,,
「早寝早起き朝ごはん」国民運動において、子どもの基本的な何習慣を整えることを目指しているか。,学習習慣,生活習慣,運動習慣,読書習慣,1,生活リズムの改善を目指しています。,,
学校保健安全法において、学校薬剤師は学校に置かなければならないか。,置かなくてもよい,非常勤ならよい,必ず置かなければならない,薬剤師会に委任する,2,必置の職とされています。,,
就学時健康診断は、小学校入学の何ヶ月前までに実施すべきか。,3ヶ月前,4ヶ月前,6ヶ月前,1年前,2,入学前年の11月30日までに行われます。,,
学習指導要領において、各教科等の授業時間は1単位時間あたり小学校では何分とされているか。,40分,45分,50分,60分,1,小学校は45分、中学校・高校は50分が標準です。,,
中学校の教諭が数学の指導において、公式の暗記だけでなく、なぜそうなるかを考えさせるのはどの資質・能力の育成か。,知識・技能,思考力・判断力・表現力等,学びに向かう力,身体能力,1,思考を深めるプロセスを重視しています。,,
マズローの欲求階層で、他者から認められたい、尊敬されたいという欲求は何か。,安全の欲求,社会的欲求,自尊（承認）の欲求,自己実現欲求,2,4段階目の欲求です。,,
エリクソンの発達段階で、学童期（小学生）の発達課題は何か。,自主性,勤勉性,親密性,整合性,1,学校生活を通じて勤勉さを養います。,,
コメニウスが提唱した、すべてのことをすべての人に教えるという考え方を何というか。,汎智学,消極教育,開発教授,生活綴方,0,「パンソフィア」とも呼ばれます。,,
ヘルバルトが示した教育の究極の目的は何か。,人格の完成,道徳的キャラクターの形成,国家の繁栄,実力の養成,1,教育的教授を通じて道徳性を養うことを目指しました。,,
教育基本法第10条において、保護者は子の教育についてどのような責任を負うか。,最終的責任,第一義的責任,連帯責任,間接的責任,1,家庭教育の重要性を示しています。,,
学校教育法第22条において、幼稚園の目的は幼児を保育し、健やかな成長のために適当な（　）を与えることとされる。,知識,環境,遊具,食事,1,環境を通した教育が基本です。,,
地方公務員法第33条において、職員はその職の（　）を傷つけるような行為をしてはならないとされる。,権威,名誉,信用,プライド,2,信用失墜行為の禁止です。,,
教育公務員特例法において、公立学校の教員の採用は、何によって行われるか。,面接のみ,書類選考,選考,抽選,2,選考（採用試験）によって行われます。,,
学習指導要領における「道徳」の時間は、週に何時間実施されるか（標準）。,0.5時間,1時間,2時間,3時間,1,年間35単位時間（1年生は34時間）です。,,
「キャリア教育」において、自分と他者との関係を調整する能力を何というか。,人間関係形成・社会形成能力,自己理解・自己管理能力,課題対応能力,キャリアプランニング能力,0,4つの基礎的・汎用的能力の一つです。,,
いじめ防止対策推進法で、いじめの定義に含まれる行為の例はどれか。,偶然ぶつかること,対等な喧嘩,心理的な影響を与える行為,単なる間違い,2,「心理的又は物理的な影響を与える行為」です。,,
不登校児童生徒への支援において、無理に登校させることよりも何を重視すべきか。,学力の補充,社会的自立,欠席日数の削減,転校の推奨,1,社会的自立を目標とした多様な支援が求められます。,,
発達障害者支援法における「自閉スペクトラム症（ASD）」の特徴的な症状はどれか。,読み書きの困難,注意力の欠如,対人関係やコミュニケーションの障害,計算の著しい遅れ,2,こだわりや対人相互反応の障害が特徴です。,,
ADHD（注意欠如・多動症）の主な特徴はどれか。,計算ができない,音読が遅い,不注意・多動性・衝動性,鏡文字を書く,2,じっとしていられない、集中が続かない等の特徴です。,,
学習障害（LD）の中で、特に読むことが困難なものを何というか。,失算,ディスレクシア,不登校,パニック障害,1,難読症とも呼ばれます。,,
「インクルーシブ教育」において、障害の有無にかかわらず共に学ぶ仕組みを何というか。,分離教育,共生教育,インクルーシブ教育システム,統合教育,2,合理的配慮を提供しつつ共に学びます。,,
ブルームが提唱した、すべての生徒が一定以上のレベルに到達することを目指す学習法を何というか。,プログラム学習,完全習得学習,発見学習,有意味受容学習,1,マスタリー・ラーニングと呼ばれます。,,
ブルーナーが提唱した、学習者が自ら法則を見つけ出す学習方法を何というか。,発見学習,プログラム学習,洞察学習,条件づけ,0,科学の基本概念を習得することを目指します。,,
オーズベルが提唱した、先行オーガナイザーを用いて既習知識と結びつける学習は何か。,発見学習,有意味受容学習,プログラム学習,ドリル学習,1,意味のある情報の受け入れを重視します。,,
日本国憲法第23条において保障されている自由は何か。,言論の自由,信教の自由,学問の自由,居住の自由,2,学問の自由です。,,
教育基本法第15条において、国及び地方公共団体が設置する学校は特定の宗教教育をしてはならないとされるか。,してもよい,保護者の同意があればよい,してはならない,任意である,2,宗教的中立性の原則です。,,
教育基本法第16条において、教育は不当な（　）に服することなく行われなければならないとされる。,管理,支配,干渉,影響,1,「不当な支配」の禁止です。,,
学校教育法において、高等学校の教育の目的は、中学校の教育の基礎の上に何を施すことか。,高等普通教育及び専門教育,基礎的な知識,義務教育の補完,大学入試対策,0,50条に規定されています。,,
地方教育行政法に基づき、教育委員会の教育委員を罷免することができるのは誰か。,文部科学大臣,地方公共団体の長,教育長,議会議長,1,任命権者である首長が罷免権を持ちます。,,
教育職員免許法に基づき、授与された教員免許状を返納しなければならないのはどのような時か。,退職したとき,結婚したとき,禁錮以上の刑に処せられたとき,転勤したとき,2,失効および取上げの規定があります。,,
地方公務員法において、職員は勤務時間外であれば自由に政治活動ができるか。,できる,できない（制限がある）,法律に規定がない,届け出ればできる,1,第36条により政治的行為が制限されています。,,
教育基本法第9条において、教員の身分は尊重され、その（　）の適正が図られなければならないとされる。,給与,待遇,地位,役職,1,待遇の適正化です。,,
学校教育法施行規則において、欠席日数が何日以上に達したときに保護者に通知すべきか。,7日以上,10日以上,出席不良と認めるとき,1ヶ月以上,2,「出席不良と認めるとき（施行規則24条）」、速やかに通知・督促します。,,
「長崎県子ども・若者計画」において、困難を抱える子どもへの支援の窓口となるのはどこか。,児童相談所,子ども・若者総合相談センター,教育委員会,警察,1,長崎県独自の支援体制です。,,
長崎県が推進する「平和教育」において、被爆の実相を伝えるとともに何を育むことを目指しているか。,歴史の暗記,平和を希求する心,政治的思想,英語力,1,長崎県ならではの重要な教育目標です。,,
カウンセリングの技法で、相手の感情を理解し、その人になったつもりで感じ取ることを何というか。,同情,共感的理解,指導,分析,1,ロジャーズの3条件の一つです。,,
ピアジェの発達段階で、自分の視点のみで物事を捉えることを何というか。,客観性,自己中心性,保存性,可逆性,1,前操作期の特徴です。,,
ボウルビィが提唱した、乳幼児と特定の養育者との間に形成される情緒的な絆を何というか。,アタッチメント（愛着）,アイデンティティ,モデリング,インプリンティング,0,心身の発達の基盤となります。,,
ローレンツが鳥の雛の観察から発見した、特定の時期に特定の刺激で学習が成立する現象を何というか。,インプリンティング（刷り込み）,条件づけ,試行錯誤,洞察,0,臨界期の概念に関連します。,,
教育心理学において、学習者が目標を達成した後に感じる「やった！」という喜びは何による報酬か。,外発的動機づけ,内発的動機づけ,アンダーマイニング効果,フィードバック,1,自発的な意欲に基づくものです。,,
テストの点数などの報酬を与えすぎると、本来持っていた学習意欲が低下してしまう現象は何か。,ピグマリオン効果,アンダーマイニング効果,プラシーボ効果,ホーソン効果,1,外発的動機づけが内発的動機づけを阻害する現象です。,,
学習指導要領において、道徳的価値についての理解を深め、自己を見つめる学習を行う時間は何か。,学級活動,特別活動,特別の教科道徳,総合的な学習の時間,2,道徳の授業です。,,
生徒指導提要において、すべての児童生徒に行う、居場所づくりや絆づくりを目的とした指導はどれか。,発達支持的生徒指導,課題予防的生徒指導,困難課題対応的生徒指導,個別指導,0,3類構造の一つです。,,
「いじめ」を認知したとき、学校は特定の教員だけでなく誰と協力して組織的に対応すべきか。,担任のみ,保護者のみ,校内組織（いじめ対策委員会等）,地域住民のみ,2,組織的な対応が義務付けられています。,,
児童虐待防止法における「心理的虐待」に該当する行為はどれか。,食事を与えない,性的行為を強要する,児童の目の前で配偶者に暴力を振るう,身体に傷を負わせる,2,面前DVは心理的虐待に当たります。,,
不登校支援において、ICTを活用した自宅での学習が出席扱いとなるためには、誰の判断が必要か。,担任,保護者,校長,文部科学大臣,2,一定の要件を満たせば校長判断で出席扱いが可能です。,,
特別支援教育において、通常の教育課程を一部変更して指導を行うことを何というか。,教育の免除,特別支援,教育課程の代替,自立活動の実施,3,障害による困難を改善・克服するための指導です。,,
地方公務員法において、職員がストライキなどの争議行為を行うことは認められているか。,認められている,認められていない,民間企業と同じである,首長の許可があればよい,1,争議行為の禁止です。,,
学校教育法第1条における学校の設置者は、国・地方公共団体および何か。,宗教法人,学校法人,営利企業,個人,1,設置者制限があります。,,
教育基本法第6条において、学校教育の実施に当たり、学校、家庭及び（　）が連携しなければならないとされる。,企業,地域住民,警察,塾,1,地域社会との連携です。,,
学習指導要領において、外国語活動の目標は「コミュニケーションの（　）」を養うこととされる。,文法力,素地,流暢さ,語彙力,1,「素地」を養うことが目標です。,,
特別活動の3つの内容のうち、学級の諸問題の解決や行事を行うのはどれか。,児童（生徒）会活動,クラブ活動,学級活動,学校行事,2,学級活動です。,,
「キャリア・パスポート」とは、児童生徒が自らの学習や歩みを記録し、何を振り返るためのものか。,テストの点数,キャリア形成,部活動の結果のみ,出席日数,1,小学校から高校まで引き継がれます。,,
いじめ防止対策推進法に基づき、学校は「学校いじめ防止（　）」を定めなければならない。,マニュアル,基本方針,規則,憲章,1,各学校が定める基本方針です。,,
日本国憲法第26条第2項において、義務教育は何とされているか。,強制,無償,有料,任意,1,「義務教育は、これを無償とする」です。,,
学校教育法に基づき、小学校の教育の目標は、心身の発達に応じて義務教育として行われる（　）教育を施すこととされる。,普通,専門,英才,基礎,0,普通教育です。,,
地方教育行政法に基づき、教育委員会の委員は何名で構成されるか（原則）。,3名,5名,10名,制限なし,1,地方公共団体の長が任命する5名（条例で増減可）です。,,
教育職員免許法において、免許状が失効した者が再度授与を受けるためには、何が必要か。,再試験,欠格事由に該当しないことと申請,講習の受講のみ,不可能です,1,申請により再授与が可能です。,,
地方公務員法第35条において、職員が職務に専念する義務を免除される場合を定めているのは何法か。,労働基準法,条例,憲法,刑法,1,条例により免除される場合があります（職専免）。,,
学校教育法施行規則において、授業終始の時刻を定めるのは誰か。,教育委員会,校長,担任,文部科学大臣,1,校長の権限です。,,
「長崎県いじめ防止基本方針」において、いじめは「どの学校でも、どの子どもにも（　）」という認識が必要とされる。,関係ない,起こりうる,防げない,特別である,1,いじめの偏在性を認める基本的な認識です。,,
カウンセリング技法で、相手の沈黙をそのまま受け入れ、待つことを何というか。,放置,受容的沈黙,無視,不親切,1,沈黙も重要なメッセージです。,,
ピアジェの発達段階で、7歳から11歳頃の、論理的思考が可能だが具体的な物事に限られる時期は何か。,感覚運動期,前操作期,具体的操作期,形式的操作期,2,具体的操作期です。,,
ボウルビィの愛着理論に関連し、子どもが不安な時に戻ってこれる安心感を何というか。,安全な基地,避難所,マザーリング,自己実現,0,セキュア・ベースと呼ばれます。,,
ハーロウが行った代理母の実験から、愛着形成には授乳よりも何が重要であると示されたか。,食事の量,接触による心地よさ（接触安慰）,教育,声かけ,1,針金の母よりも布の母が選ばれました。,,
