q,opt1,opt2,opt3,opt4,ans,exp,,
「学習指導要領」において、小・中・高を通じた一貫した教育を目指すために導入された視点はどれか。,三位一体,カリキュラム・マネジメント,個別指導,飛び級,1,学校経営の重要な要素です。,,
不登校支援において、保護者との連携や家庭訪問を行う専門職はどれか。,スクールカウンセラー,スクールソーシャルワーカー,学校薬剤師,司書教諭,1,SSWの役割の一つです。,,
特別支援教育において、視覚障害や聴覚障害がある児童生徒のために、点字や手話などを用いる教育を何というか。,代替教育,特別支援教育,適応教育,統合教育,1,それぞれの障害に応じた指導です。,,
地方公務員法第29条において、懲戒処分の対象となる事由に含まれないものはどれか。,法令違反,職務上の義務違反,全体の奉仕者にふさわしくない非行,病気による欠勤,3,病気欠勤は分限処分や休職の対象となります。,,
日本国憲法第26条第1項において、すべて国民は何に応じて教育を受ける権利を有するか。,経済的地位,社会的身分,能力,資質,2,「その能力に応じて」という文言は頻出です。,,
教育基本法第2条第5号において、伝統と文化を尊重し、それらをはぐくんできた我が国と（　）を愛する態度を養うとされる。,地域,郷土,歴史,自然,1,「我が国と郷土を愛する」という表現が2006年の改正で盛り込まれました。,,
学校教育法第11条に基づき、校長及び教員は、教育上必要があると認めるときは、児童、生徒及び学生に何をすることができるか。,罰金,禁錮,懲戒,停学,2,懲戒権が認められていますが、体罰は禁止されています。,,
地方公務員法第32条において、職員は、その職務を遂行するに当たって、上司の（　）に忠実に関わらなければならないとされる。,助言,指導,職務上の命令,個人的な指示,2,職務上の命令に従う義務があります。,,
「いじめ防止対策推進法」第2条において、いじめの定義として「心理的又は（　）な影響を与える行為」とされている。,経済的,物理的,社会的,精神的,1,物理的影響（暴力など）も含まれます。,,
児童虐待防止法第2条において、児童虐待の4つの分類は、身体的虐待、性的虐待、ネグレクトと何か。,経済的虐待,心理的虐待,教育的虐待,放置,1,暴言や無視、面前DVなどは心理的虐待に当たります。,,
長崎県が実施している「ココロねっこ運動」のシンボルマークに描かれている植物の部位はどこか。,花,葉,根,実,2,「心の根っこ」を育てるという意味が込められています。,,
長崎県教育推進基本計画において、重点的に取り組む5つの柱の一つに含まれるのはどれか。,海外留学の全入化,確かな学力の向上と創造性の育成,全学校へのプール設置,塾費用の助成,1,確かな学力の向上は全国共通かつ長崎でも最重要課題です。,,
ピアジェの発達段階において、11歳頃から始まる、抽象的な思考や仮説を立てることができる時期を何というか。,感覚運動期,前操作期,具体的操作期,形式的操作期,3,成人と同じ論理的思考が可能になる段階です。,,
マズローの欲求階層説において、他者との関わりを求め、集団に属したいという欲求は何か。,生理的欲求,安全の欲求,所属と愛の欲求（社会的欲求）,承認の欲求,2,3段階目の欲求です。,,
ヴィゴツキーの理論において、子どもが一人でできることと、助けを借りればできることの差を何というか。,発達の最近接領域,レディネス,臨界期,学習の転移,0,ZPDと呼ばれ、教育の効果が最も高い領域です。,,
『大教授学』を著し、世界初の絵入り教科書『世界図絵』を作った近代教授学の父は誰か。,ルソー,コメニウス,ロック,ペスタロッチ,1,「すべての人にすべてのことを教える」汎智学を唱えました。,,
人間の心は「白紙（タブラ・ラサ）」であり、すべての知識は経験から得られると説いたイギリスの哲学者は誰か。,デカルト,ロック,ヒューム,バークリー,1,ジョン・ロックの経験論です。,,
スイスの教育家で、孤児院での実践を通じ「生活が陶冶する」と説き、直観教授を体系化したのは誰か。,フレーベル,ペスタロッチ,ルソー,ヘルバルト,1,民衆教育の父と慕われています。,,
「教育的教授」を提唱し、教育の目的を道徳的品性の陶冶に置いたドイツの教育学者は誰か。,ヘルバルト,ライン,ツィラー,フレーベル,0,教授・訓育・管理の3要素を説きました。,,
世界初の幼稚園（キンダーガルテン）を設立し、恩物と呼ばれる遊具を考案したのは誰か。,フレーベル,モンテッソーリ,ペスタロッチ,ルソー,0,幼児教育の祖です。,,
「教育は生活の準備ではなく、生活そのものである」と述べ、民主主義と教育の関係を説いたのは誰か。,ブルーナー,デューイ,スキナー,ワトソン,1,ジョン・デューイです。,,
1872年（明治5年）に公布され、日本の近代教育制度の出発点となった法令は何か。,学制,教育令,学校令,教育基本法,0,フランスの学区制を模範としました。,,
1890年に発布され、儒教的な道徳を基盤に忠君愛国を説いた教育の規範は何か。,教育基本法,教育勅語,学制,五箇条の御誓文,1,戦前・戦中の教育の支柱でした。,,
1947年に制定された旧教育基本法において、教育の目的として掲げられた最も重要な言葉は何か。,国家の繁栄,人格の完成,経済力の向上,国際協力,1,現行法でも引き継がれている最重要概念です。,,
学習指導要領において、これからの時代を生き抜くために必要な資質・能力の「三つの柱」に含まれないものはどれか。,知識及び技能,思考力・判断力・表現力等,学びに向かう力・人間性等,運動能力と健康,3,「知識・技能」「思考・判断・表現」「学びに向かう力」が三つの柱です。,,
主体的・対話的で深い学びの実現に向けた授業改善の視点を、カタカナで何というか。,アクティブ・ラーニング,マイクロ・ティーチング,チーム・ティーチング,ブレンディッド・ラーニング,0,能動的な学習を指します。,,
いじめ防止対策推進法において、いじめの防止等のための対策は誰の連携のもとに行われるべきか。,学校と保護者のみ,学校と警察のみ,国、地方公共団体、学校、家庭、地域住民その他の関係者,担任教諭のみ,2,社会全体での連携が規定されています。,,
いじめの「重大事態」に該当する基準の一つとして、不登校が年間何日程度を目安に発生した場合か。,10日,30日,50日,100日,1,年間30日程度の不登校がいじめによる疑いがある場合、重大事態となります。,,
教師が子どもに期待を持つと成績が上がる「ピグマリオン効果」を報告した心理学者は誰か。,ローゼンタール,ロジャーズ,マズロー,スキナー,0,教育心理学の重要用語です。,,
評価において、ある優れた点に影響されて全体の評価が高まってしまう現象を何というか。,ピグマリオン効果,ハロー効果,プラシーボ効果,ホーソン効果,1,評価の歪み（バイアス）の一つです。,,
生涯学習（生涯教育）の理念を、1965年にユネスコで初めて提唱したフランス人は誰か。,ルソー,ポール・ラングラン,サルトル,カミュ,1,「ゆりかごから墓場まで」の教育を提唱しました。,,
江戸時代、大分県の日田に「咸宜園」を開き、身分不問の徹底した実力主義で教育した人物は誰か。,吉田松陰,広瀬淡窓,緒方洪庵,本居宣長,1,数多くの門下生を輩出しました。,,
江戸時代、岡山藩主・池田光政が設立した、庶民も入学できた日本初の公立学校を何というか。,閑谷学校,日新館,弘道館,明倫館,0,世界遺産暫定リストにも載る美しい学校です。,,
学校教育法第11条において禁止されている、身体への侵害を伴う懲戒を何というか。,謹慎,退学,体罰,説教,2,絶対に許されない行為として規定されています。,,
地方公務員法第34条に基づき、退職後も守らなければならない義務は何か。,職務専念義務,守秘義務,政治的行為の制限,兼業禁止,1,職務上知り得た秘密を漏らしてはいけません。,,
教育職員免許法において、免許状の授与を行う権限を持っているのは誰か。,文部科学大臣,都道府県知事,都道府県教育委員会,市町村教育委員会,2,長崎県内であれば長崎県教育委員会です。,,
現在、教員免許更新制はどうなっているか。,10年ごとに更新が必要,5年ごとに更新が必要,廃止されている,新規取得者のみ不要,2,2022年7月に廃止されました。,,
小学校3・4年生で行われる、英語を通じたコミュニケーションの素地を養う時間は何か。,外国語科,外国語活動,国際理解教育,英語遊び,1,活動中心で評価は行いません。,,
道徳の時間が「特別の教科」化されたことにより、評価はどのように変化したか。,点数による評価が始まった,記述式による評価が行われるようになった,他者との比較評価が行われるようになった,評価は一切行わなくなった,1,数値ではなく、成長を記述で評価します。,,
GIGAスクール構想の目的として正しいものはどれか。,教科書の全廃,1人1台端末と高速通信環境の整備,教員の削減,運動時間の増加,1,ICTを活用した教育の推進です。,,
いじめを認知した際、学校が組織的に対応するために設置する組織を何というか。,PTA総会,学校運営協議会,いじめ対策組織（委員会など）,職員会議のみ,2,組織的な対応が義務付けられています。,,
マズローの欲求階層で、最も基礎的（1段階目）な欲求はどれか。,生理的欲求,安全の欲求,社会的欲求,承認の欲求,0,睡眠、食欲などの本能的な欲求です。,,
エリクソンの発達段階において、乳児期に獲得すべきとされる心理的特性は何か。,自律性,基本的信頼,勤勉性,親密性,1,養育者との信頼関係が重要です。,,
スキナーが行った、レバーを押すと餌が出る装置を用いた実験は何を研究するためのものか。,古典的条件づけ,オペラント条件づけ,洞察学習,社会的学習,1,自発的な行動と報酬の関係を調べました。,,
パブロフが犬の実験で明らかにした、特定の刺激に反応を関連づける原理は何か。,古典的条件づけ,オペラント条件づけ,洞察学習,潜在学習,0,ベルの音で唾液が出るなどの学習です。,,
「直観教授」を提唱し、子どもの感覚を通じた理解を重視したスイスの教育学者は誰か。,ペスタロッチ,フレーベル,ルソー,カント,0,民衆教育の父と呼ばれます。,,
明治5年の「学制」において、国民に広く教育を普及させることを示した一節は何か。,邑に不学の戸なく、家に不学の人なからしめん,和魂洋才,忠君愛国,富国強兵,0,「被仰出書」の中の一節です。,,
1886年に初代文部大臣となり、近代学校制度の基盤を固めた人物は誰か。,伊藤博文,森有礼,福沢諭吉,岩倉具視,1,学校令を制定しました。,,
教育基本法第10条において、家庭教育の重要性とあわせて、保護者が持つとされる責任は何か。,第二義的責任,第一義的責任,共同責任,管理的責任,1,子が教育を受けることについて第一の責任を負います。,,
学校保健安全法に基づき、学校で毎年6月30日までに行われるものは何か。,学力テスト,健康診断,防災訓練,避難訓練,1,児童生徒の健康管理のためです。,,
校長が出席停止を命じることができる理由として正しいものはどれか。,成績が極端に悪い,校則に違反した,感染症にかかっている,授業を妨害した,2,学校保健安全法に基づく感染症予防のためです。,,
特別支援教育において、障害のある児童一人一人の支援内容をまとめた計画はどれか。,教育課程,個別の指導計画,学級経営案,学習指導案,1,具体的な指導内容と目標を定めた計画です。,,
通常の学級に在籍しながら、週に数時間だけ別室で障害に応じた指導を受けることを何というか。,特別支援学級,通級による指導,適応指導教室,フリースクール,1,LDやADHDなどの児童が対象です。,,
学習指導要領の「資質・能力」のうち、知識をどう活用するかに関わるものはどれか。,知識及び技能,思考力・判断力・表現力等,学びに向かう力,身体能力,1,「何ができるようになるか」の核となる部分です。,,
生徒指導の定義において、生徒指導は「（　）の自己実現を助ける」過程とされる。,学校,教員,児童生徒,保護者,2,生徒指導提要に示されている目標です。,,
カウンセリングにおいて、相手の感情を自分のことのように感じ取る態度を何というか。,同情,共感的理解,無条件の肯定的関心,自己一致,1,ロジャーズが唱えた3条件の一つです。,,
ピアジェの理論で、自分と異なる視点があることを理解できない状態を何というか。,客観性,自己中心性,保存性,可逆性,1,前操作期（2～7歳頃）の特徴です。,,
「児童の権利に関する条約」における4つの原則は、生命の権利、子どもの最善の利益、意見の尊重と何か。,差別の禁止,労働の自由,就学の強制,プライバシーの放棄,0,差別の禁止は基本原則の一つです。,,
合理的配慮の提供において、学校側が配慮を行う際に考慮すべき要素はどれか。,教員の好み,過度な負担にならない範囲,予算の全額投入,生徒の成績順,1,学校の負担が重すぎない範囲での対応が求められます。,,
学校で起きた事故に対して、見舞金を支払う「日本スポーツ振興センター」の制度を何というか。,健康保険制度,災害共済給付制度,雇用保険制度,生命保険制度,1,学校管理下での怪我などが対象です。,,
地方公務員法において、職員の非行に対して課せられる、免職や停職などの処分を何というか。,分限処分,懲戒処分,更生処分,罰金処分,1,制裁としての処分です。,,
学校教育法第35条に基づく「出席停止」の対象となる事由はどれか。,成績不良,病気,性行不良（暴力行為など）,経済的理由,2,他の児童の学習を妨げる場合に命じられます。,,
小学校に必ず置かなければならない（必置の）職ではないものはどれか。,校長,教頭,司書教諭,事務職員,2,教諭の中から命じられる職種ですが、37条の必置リストにはありません。,,
学習指導要領における「総合的な学習の時間」で育てるべき態度はどれか。,暗記の徹底,探究的な学習の態度,計算力の向上,行儀の良さ,1,自ら課題を解決する力を養います。,,
チームとしての学校において、心理の専門家として配置されるのは誰か。,スクールソーシャルワーカー,スクールカウンセラー,学校薬剤師,保健師,1,SCと呼ばれます。,,
明治初期に「邑に不学の戸なく」と示し、教育の普及を促した文書の名称はどれか。,学制,被仰出書,教育令,教育勅語,1,「おおせいだされしょ」と読みます。,,
大正時代の自由教育運動で、「成城小学校」を創設し、児童の個性を重視した人物は誰か。,羽仁もと子,沢柳政太郎,小原國芳,野口援太郎,1,新教育運動のリーダーです。,,
来談者中心療法において、カウンセラーが自分の感情を偽らないことを何というか。,受容,共感,自己一致,反射,2,ロジャーズの3条件の一つです。,,
短期大学は学校教育法上の「大学」に含まれるか。,含まれない,含まれる,大学院のみ含む,名前が違えば別物,1,一条校としての大学に含まれます。,,
地方公務員法第32条に規定されている、法令および上司の命令に従う義務は何か。,職務専念義務,法令等及び上司の職務上の命令に従う義務,信用失墜行為の禁止,守秘義務,1,職務遂行上の基本義務です。,,
教育委員会が毎年実施し、その結果を議会に提出して公表しなければならないものはどれか。,点検・評価,予算案,人事案,給与明細,0,透明性を高めるための報告です。,,
長崎県で2004年の事件をきっかけに始まった、命の尊さを教える運動は何か。,ココロねっこ運動,長崎っ子の心を見つめる運動,平和教育,道徳教育,1,県独自の心の教育運動です。,,
「早寝早起き朝ごはん」国民運動の主な目的は、子どもの何の改善か。,学習習慣,生活習慣,食事内容,運動能力,1,規則正しい生活リズムの形成です。,,
学校保健安全法において、学校薬剤師を置くことは義務か努力義務か。,義務（必ず置く）,努力義務,任意,大規模校のみ義務,0,必置の職とされています。,,
就学時健康診断の通知は、入学の何日前までに保護者に届けるべきか。,10日前,30日前,60日前,1年前,1,学校保健安全法施行令で規定されています。,,
学習指導要領において、小学校1単位時間の標準的な長さは何分か。,40分,45分,50分,60分,1,中学校・高校は50分が標準です。,,
数学の授業において、事象を数理的に捉え論理的に考えるプロセスを重視する力は何か。,知識・技能,思考力・判断力・表現力等,学びに向かう力,暗記力,1,「数学の見方・考え方」に関わります。,,
マズローの欲求階層で、4段階目にある、自分を認めたいという欲求は何か。,安全の欲求,社会的欲求,承認（自尊）の欲求,自己実現欲求,2,自己肯定感に関わる欲求です。,,
エリクソンの発達段階で、乳幼児期に母親などとの間に育まれる絆は何というか。,自立,信頼,親密,勤勉,1,基本的信頼の獲得が課題です。,,
コメニウスが唱えた、あらゆる知識をすべての人に授ける考え方を何というか。,汎智学,消極教育,発見学習,開発教授,0,パンソフィアの思想です。,,
ヘルバルトが重視した、教育を行う際に知識を授けることを通じて道徳性を養う手法を何というか。,管理,訓育,教育的教授,放任,2,教授を通じて教育を行う考え方です。,,
教育基本法第10条において、国及び地方公共団体は、家庭教育を支援するために何を講じるよう努めるか。,学費の全額助成,学習機会及び情報の提供その他の必要な支援,塾の開設,親の強制教育,1,家庭教育の自主性を尊重した支援です。,,
学校教育法第22条で、幼稚園の目的は幼児を保育し、健やかな成長を助長するための何をすることか。,文字を教える,計算をさせる,適当な環境を与える,食事を与える,2,環境による教育が基本です。,,
地方公務員法第33条において、職員が公務員全体の不名誉となるような行為を禁止する規定は何か。,守秘義務,信用失墜行為の禁止,政治的行為の制限,兼業禁止,1,私生活上の行為も対象になり得ます。,,
教育公務員特例法において、教員の採用候補者名簿を作成するための試験を何というか。,採用選考,検定,面接のみ,筆記試験のみ,0,いわゆる教採のことです。,,
学習指導要領において、道徳は「（　）の教科」として位置づけられている。,一般,専門,特別,基礎,2,「特別の教科 道徳」です。,,
キャリア教育において、自ら課題を見つけ、解決しようとする能力を何というか。,人間関係形成能力,自己理解能力,課題対応能力,将来設計能力,2,基礎的・汎用的能力の一つです。,,
いじめ防止対策推進法で、いじめの認知において最も重視されるのは誰の主観か。,教員,保護者,いじめられた児童生徒,目撃した児童,2,被害者が苦痛を感じていればいじめとみなされます。,,
児童虐待防止法における「面前DV」は、児童へのどのような虐待に含まれるか。,身体的虐待,性的虐待,ネグレクト,心理的虐待,3,子どもの心に深い傷を負わせるため心理的虐待です。,,
不登校支援において、ICT等を活用した学習が出席扱いとなるためには、学校とどこが連携すべきか。,塾,家庭,警察,文部科学省,1,家庭との密接な連携が必要です。,,
特別支援教育において、障害による学習や生活上の困難を克服するための指導を何というか。,学力指導,自立活動,運動会,道徳教育,1,障害に応じた専門的な指導です。,,
地方公務員法において、職員が特定の政党を支持する目的で投票を依頼するなどの行為は制限されているか。,制限されている,自由である,届け出ればよい,休日に限り自由,0,政治的中立性のための制限です。,,
学校教育法第1条における学校を設置できる「地方公共団体」には、一部事務組合も含まれるか。,含まれない,含まれる,都道府県のみ,市町村のみ,1,広域連合なども含まれます。,,
教育基本法第6条において、法律に定める学校は、何を目的として設置されるか。,公の性質をもつ,個人の利益,企業の利益,宗教の布教,0,公共性が強調されています。,,
学習指導要領において、外国語活動の主な目的は何か。,英検の合格,文法の習得,コミュニケーションの素地,翻訳スキルの習得,2,慣れ親しむことが第一です。,,
特別活動の目標として、集団の一員としてよりよい生活を築こうとする（　）的な態度を養うとされる。,批判,従順,実践,理論,2,実践的な態度です。,,
「キャリア・パスポート」の目的として、小学校から（　）までの学びを記録し、自己の成長を振り返ることとされる。,中学校,高等学校,大学,就職,1,高校卒業まで引き継がれる記録です。,,
いじめ防止対策推進法において、いじめの防止等に関する重要事項を審議するために地方公共団体に置かれる会議を何というか。,PTA総会,学校運営協議会,いじめ問題対策連絡協議会,教育委員会定例会,2,関係機関のネットワークです。,,
日本国憲法第26条において、義務教育の費用についてどのように規定されているか。,保護者が負担する,市町村が負担する,無償とする,法律で定める,2,「無償とする」と憲法に明記されています。,,
学校教育法において、中学校の教育の目的は、小学校の教育の基礎の上に、心身の発達に応じて（　）教育を施すこととされる。,普通,専門,高等,義務,0,前期中等教育としての普通教育です。,,
地方教育行政法に基づき、教育委員会の委員を任命するのは誰か。,教育長,地方公共団体の長,議会議長,文部科学大臣,1,首長が議会の同意を得て任命します。,,
教員免許状の効力が失われるのは、どのような刑に処せられたときか。,過失による罰金,禁錮以上の刑,科料,行政罰,1,欠格事由に該当します。,,
地方公務員法第35条において、職員は、法律又は（　）に特別の定めがある場合を除き、職務に専念しなければならないとされる。,条例,規則,通達,慣習,0,条例による職専免の規定です。,,
学校教育法施行規則において、教育課程を編成するのは誰か。,担任,校長,教育委員会,文部科学大臣,1,各学校の責任において校長が編成します。,,
「長崎県いじめ防止基本方針」において、いじめは「どの学校でも起こりうる」という認識のもと、何を徹底すべきか。,事後処理,未然防止,隠蔽,転校の推奨,1,未然防止と早期発見・早期対応です。,,
カウンセリングにおいて、相手の言動を否定せずにそのまま受け入れる態度を何というか。,共感,受容,一致,分析,1,無条件の肯定的関心（受容）です。,,
ピアジェの理論で、2歳から7歳頃の、言語が発達するが論理的思考はまだ不十分な時期は何か。,感覚運動期,前操作期,具体的操作期,形式的操作期,1,前操作期です。,,
ボウルビィの愛着理論において、子どもが不安な時に特定の対象を追い求める行動を何というか。,攻撃行動,愛着行動,模倣行動,回避行動,1,安全を求める本能的な行動です。,,
ハーロウの実験で、子ザルがミルクを出す針金の母よりも、ミルクを出さない布の母を選んだ理由は何か。,味の好み,接触の心地よさ,光の強さ,声のトーン,1,「接触安慰」の重要性を示しました。,,
学習指導要領において、各学校が教育目標の達成に向けて改善を図る営みを何というか。,コスト削減,カリキュラム・マネジメント,一斉指導,自由参観,1,組織的な教育活動の改善です。,,
不登校の児童生徒が、学校外の施設（適応指導教室等）で受けた指導を出席扱いにするのは誰か。,塾の先生,保護者,校長,教育委員会,2,適切と認めれば校長が出席扱いにできます。,,
特別支援教育において、通常の学級で行われる、すべての子どもに分かりやすい授業の工夫を何というか。,個別指導,ユニバーサルデザイン（UD）,特別待遇,分離教育,1,「ユニバーサルデザインの視点」を持った授業づくりです。,,
地方公務員法第29条に基づき、懲戒処分の種類のうち最も重いものはどれか。,停職,減給,免職,戒告,2,公務員の身分を失わせる免職が最も重いです。,,
学校教育法第1条における学校を設置できる「国」には、国立大学法人も含まれるか。,含まれない,含まれる,文部科学省のみ,独立行政法人のみ,1,国立大学法人が設置する附属学校も一条校です。,,
教育基本法第6条において、学校教育に従事する教員は、法律に定める学校において何を遂行するか。,企業の利益,公の任務,個人の教育,宗教の普及,1,「公の性質」をもつ任務です。,,
学習指導要領における「見方・考え方」を働かせる学習活動を通じて目指す学びの質はどれか。,浅い学び,形式的な学び,深い学び,暗記中心の学び,2,資質・能力を育むための深い学びです。,,
特別活動の内容の一つ「学校行事」に含まれないものはどれか。,儀式的行事,学芸的行事,数学の授業,健康安全・体育的行事,2,教科の授業は学校行事には含まれません。,,
「キャリア・パスポート」は、進学や（　）の際に次の学校や段階に引き継がれることになっている。,就職,転校,夏休み,誕生日,1,進学や転校などで継続的に活用されます。,,
いじめ防止対策推進法において、学校が設置するいじめ対策組織には、外部の専門家を入れることができるか。,できない,望ましくない,必要に応じて入れることができる,教員のみで構成する,2,心理や福祉、弁護士などの専門家の協力が推奨されます。,,
日本国憲法第26条において、義務教育の「義務」を負っているのは誰か。,児童生徒,国民（保護者）,学校,国,1,「その保護する子女に…教育を受けさせる義務を負ふ」です。,,
学校教育法において、小学校の修業年限は何年と定められているか。,3年,6年,9年,定められていない,1,6年間です。,,
地方教育行政法に基づき、教育委員会の教育長が教育委員を兼ねることはできるか。,できない,できる,副教育長ならよい,条件付きで可能,1,教育長は委員の一人として、会議に参加します。,,
教員免許状の失効理由として、自ら何を申し出た場合も含まれるか。,退職,免許状の返納,結婚,転居,1,自ら返納を願い出た場合、その効力を失います。,,
地方公務員法において、職員は全体の（　）として、誠実かつ公正に職務を執行しなければならない。,労働者,支配者,奉仕者,指導者,2,全体の奉仕者の原則です。,,
学校教育法施行規則において、教科書の選定義務を負っているのは誰か（公立学校）。,校長,担任,教育委員会,文部科学大臣,2,採択権は設置者である教育委員会にあります。,,
長崎県の「ココロねっこ運動」は、2001年に制定された何の日に合わせて推進されているか。,県民の日,ココロねっこ（の日）,平和の日,海の日,1,毎月第3日曜日を「ココロねっこサンデー」としています。,,
カウンセリングにおいて、相手の言葉の意味を整理して要約し、投げ返す技法を何というか。,反射,要約,明確化,支持,1,相手の理解を深める助けになります。,,
数学科の目標として、事象を数理的に捉え、数学的に表現し（　）的に処理する能力を養うとされる。,理論,処理,論理,感覚,2,論理的な思考と処理が重要です。,,
